"OUTLET","CORRELATION","OUTLET_PRESS_SIZE","QUANTITY_OF_SEASONS","OUTLET_SOCIAL_SIZE","FINAL_INDEX","RANK"
"hollywoodnews",4,2,1,1,2,27
"lasvegasweekly",5,1,1,1,2,27
"newarkstarledger",5,1,1,1,2,27
"newhavenregister",4,1,2,1,2,27
"radiotimes",2,4,1,1,2,27
"sanantonioexpressnews",4,1,2,1,2,27
"tulsaworld",5,1,1,1,2,27
"bbcamerica",3,2,1,1,1.8,28
"closer",4,1,1,1,1.8,28
"empire",4,1,1,1,1.8,28
"empireonline",4,1,1,1,1.8,28
"gothamist",2,3,1,1,1.8,28
"houstonchronicle",2,3,1,1,1.8,28
"lansingstatejournal",4,1,1,1,1.8,28
"mensjournal",2,3,1,1,1.8,28
"oaklandtribune",4,1,1,1,1.8,28
"richmond",4,1,1,1,1.8,28
"seat42f",3,1,2,1,1.8,28
"seriable",3,1,2,1,1.8,28
"tampatribune",4,1,1,1,1.8,28
"villagevoice",2,3,1,1,1.8,28
"wallstcheatsheet",1,4,1,1,1.8,28
"washingtontimes",2,3,1,1,1.8,28
"worldscreen",4,1,1,1,1.8,28
"adage",2,2,1,1,1.5,29
"buffalonews",3,1,1,1,1.5,29
"eastbaytimes",2,2,1,1,1.5,29
"kansascitystar",3,1,1,1,1.5,29
"ksitetv",2,1,2,1,1.5,29
"metronewyork",3,1,1,1,1.5,29
"newyorklive",2,2,1,1,1.5,29
"nymagazine",3,1,1,1,1.5,29
"province",3,1,1,1,1.5,29
"redeyechicago",3,1,1,1,1.5,29
"rickey",3,1,1,1,1.5,29
"screenertv",2,2,1,1,1.5,29
"timesunion",1,2,2,1,1.5,29
"toofab",1,3,1,1,1.5,29
"tvshowpatrol",3,1,1,1,1.5,29
"tvtattle",3,1,1,1,1.5,29
"hartfordcourant",2,1,1,1,1.2,30
"instyle",1,2,1,1,1.2,30
"kpopstarz",1,2,1,1,1.2,30
"nationalpost",2,1,1,1,1.2,30
"richmondmagazine",2,1,1,1,1.2,30
"vancouversun",2,1,1,1,1.2,30
"filmschoolrejects",1,1,1,1,1,31
"ramasscreen",1,1,1,1,1,31
"vcpost",1,1,1,1,1,31
"geekyhobbies",NA,1,1,1,NA,32
