"OUTLET","SEASON","CORRELATION","OUTLET_PRESS_SIZE","OUTLET_SOCIAL_SIZE","QUANTITY_OF_SEASONS","FINAL_INDEX","PROGRAM"
"ajc","4",7,6,1,7,5.2,"HALT AND CATCH FIRE"
"collider","4",7,4,1,9,5.2,"HALT AND CATCH FIRE"
"people","4",4,9,1,7,5.2,"HALT AND CATCH FIRE"
"sfgate","4",4,8,1,8,5.2,"HALT AND CATCH FIRE"
"upi","4",8,5,1,7,5.2,"HALT AND CATCH FIRE"
"washingtonpost","4",3,9,1,8,5.2,"HALT AND CATCH FIRE"
"wrap","4",8,3,1,9,5.2,"HALT AND CATCH FIRE"
"comingsoon","4",6,4,1,9,5,"HALT AND CATCH FIRE"
"darkhorizons","4",10,2,1,7,5,"HALT AND CATCH FIRE"
"deadline","4",4,6,1,9,5,"HALT AND CATCH FIRE"
"newyorkpost","4",3,8,1,8,5,"HALT AND CATCH FIRE"
"examiner","4",10,7,1,9,6.8,"HELL ON WHEELS"
"fox","4",9,8,1,9,6.8,"HELL ON WHEELS"
"ew","4",9,5,1,10,6.2,"HELL ON WHEELS"
"nytimes","4",6,8,1,10,6.2,"HELL ON WHEELS"
"ibtimes","4",7,6,1,10,6,"HELL ON WHEELS"
"uproxx","4",8,5,1,10,6,"HELL ON WHEELS"
"yahoo","4",8,4,1,10,5.8,"HELL ON WHEELS"
"cinemablend","4",8,4,1,9,5.5,"HELL ON WHEELS"
"enstarz","4",10,2,1,9,5.5,"HELL ON WHEELS"
"slate","4",6,6,1,9,5.5,"HELL ON WHEELS"
"tvguide","4",7,5,1,9,5.5,"HELL ON WHEELS"
"wrap","4",8,4,1,9,5.5,"HELL ON WHEELS"
"bostonherald","4",8,2,1,10,5.2,"HELL ON WHEELS"
"contracostatimes","4",10,1,1,9,5.2,"HELL ON WHEELS"
"craveonline","4",8,2,1,10,5.2,"HELL ON WHEELS"
"heavy","4",8,3,1,9,5.2,"HELL ON WHEELS"
"saltlaketribune","4",9,1,1,10,5.2,"HELL ON WHEELS"
"sltrib","4",8,3,1,9,5.2,"HELL ON WHEELS"
"usatoday","4",4,7,1,9,5.2,"HELL ON WHEELS"
"washingtonpost","4",4,6,1,10,5.2,"HELL ON WHEELS"
"week","4",8,2,1,10,5.2,"HELL ON WHEELS"
"latimes","4",4,5,1,10,5,"HELL ON WHEELS"
"people","4",4,6,1,9,5,"HELL ON WHEELS"
"zap2it","4",5,4,1,10,5,"HELL ON WHEELS"
"411mania","4",8,1,1,9,4.8,"HELL ON WHEELS"
"yahoo","5A",8,10,1,10,7.2,"HELL ON WHEELS"
"huffingtonpost","5A",9,9,1,9,7,"HELL ON WHEELS"
"ew","5A",9,6,1,10,6.5,"HELL ON WHEELS"
"ibtimes","5A",7,7,1,10,6.2,"HELL ON WHEELS"
"nytimes","5A",6,8,1,10,6.2,"HELL ON WHEELS"
"uproxx","5A",8,6,1,10,6.2,"HELL ON WHEELS"
"christiantoday","5A",9,4,1,9,5.8,"HELL ON WHEELS"
"mysanantonio","5A",10,3,1,9,5.8,"HELL ON WHEELS"
"washingtonpost","5A",4,8,1,10,5.8,"HELL ON WHEELS"
"craveonline","5A",8,3,1,10,5.5,"HELL ON WHEELS"
"fashionnstyle","5A",10,1,1,9,5.2,"HELL ON WHEELS"
"providencejournal","5A",10,1,1,9,5.2,"HELL ON WHEELS"
"saltlaketribune","5A",9,1,1,10,5.2,"HELL ON WHEELS"
"week","5A",8,2,1,10,5.2,"HELL ON WHEELS"
"bostonherald","5A",8,1,1,10,5,"HELL ON WHEELS"
"gracenote","5A",9,1,1,9,5,"HELL ON WHEELS"
"newyorkdailynews","5A",9,1,1,9,5,"HELL ON WHEELS"
"newyorktimes","5A",6,4,1,9,5,"HELL ON WHEELS"
"tv","5A",4,5,1,10,5,"HELL ON WHEELS"
"tvmediainsights","5A",9,1,1,9,5,"HELL ON WHEELS"
"zap2it","5A",5,4,1,10,5,"HELL ON WHEELS"
"accesshollywood","5A",6,3,1,9,4.8,"HELL ON WHEELS"
"oregonlive","5A",4,5,1,9,4.8,"HELL ON WHEELS"
"sanjosemercurynews","5A",7,2,1,9,4.8,"HELL ON WHEELS"
"screencrush","5A",5,3,1,10,4.8,"HELL ON WHEELS"
"yahoo","1",7,10,1,10,7,"HUMANS"
"engadget","1",7,5,1,10,5.8,"HUMANS"
"ew","1",8,4,1,10,5.8,"HUMANS"
"imdb","1",4,8,1,10,5.8,"HUMANS"
"inquistr","1",10,4,1,8,5.8,"HUMANS"
"nytimes","1",6,7,1,9,5.8,"HUMANS"
"telegraph","1",10,4,1,8,5.8,"HUMANS"
"forbes","1",5,8,1,8,5.5,"HUMANS"
"huffingtonpostlive","1",8,5,1,8,5.5,"HUMANS"
"siriusxm","1",6,7,1,8,5.5,"HUMANS"
"uproxx","1",7,4,1,10,5.5,"HUMANS"
"variety","1",7,4,1,10,5.5,"HUMANS"
"businessinsider","1",5,7,1,8,5.2,"HUMANS"
"ign","1",6,4,1,10,5.2,"HUMANS"
"ladailynews","1",10,1,1,9,5.2,"HUMANS"
"time","1",6,6,1,8,5.2,"HUMANS"
"usweekly","1",6,5,1,9,5.2,"HUMANS"
"channelguidemagazine","1",8,2,1,9,5,"HUMANS"
"cleveland","1",8,3,1,8,5,"HUMANS"
"dailymail","1",4,7,1,8,5,"HUMANS"
"hollywoodreporter","1",7,3,1,9,5,"HUMANS"
"independent","1",7,4,1,8,5,"HUMANS"
"medialifemagazine","1",9,1,1,9,5,"HUMANS"
"rochesterdemocratandchronicle","1",10,1,1,8,5,"HUMANS"
"tvguide","1",6,3,1,10,5,"HUMANS"
"gizmodo","2",10,9,1,8,7,"HUMANS"
"engadget","2",7,8,1,10,6.5,"HUMANS"
"ign","2",6,9,1,10,6.5,"HUMANS"
"ew","2",8,6,1,10,6.2,"HUMANS"
"washingtonpost","2",4,10,1,10,6.2,"HUMANS"
"hollywoodreporter","2",7,7,1,9,6,"HUMANS"
"uproxx","2",7,6,1,10,6,"HUMANS"
"digitalspy","2",6,6,1,10,5.8,"HUMANS"
"screenrant","2",6,6,1,10,5.8,"HUMANS"
"tvguide","2",6,6,1,10,5.8,"HUMANS"
"usatoday","2",4,9,1,9,5.8,"HUMANS"
"vanityfair","2",8,6,1,8,5.8,"HUMANS"
"yahoo","2",7,5,1,10,5.8,"HUMANS"
"losangelestimes","2",3,9,1,9,5.5,"HUMANS"
"moviefone","2",8,5,1,8,5.5,"HUMANS"
"newsweek","2",8,5,1,8,5.5,"HUMANS"
"variety","2",7,4,1,10,5.5,"HUMANS"
"vox","2",4,8,1,9,5.5,"HUMANS"
"darkhorizons","2",10,2,1,8,5.2,"HUMANS"
"ladailynews","2",10,1,1,9,5.2,"HUMANS"
"mercurynews","2",4,6,1,10,5.2,"HUMANS"
"vulture","2",4,6,1,10,5.2,"HUMANS"
"collider","2",6,3,1,10,5,"HUMANS"
"deadline","2",5,4,1,10,5,"HUMANS"
"enstarz","2",10,1,1,8,5,"HUMANS"
"ign","3",6,8,10,10,8.5,"HUMANS"
"ew","3",8,5,10,10,8.2,"HUMANS"
"digitalspy","3",6,8,1,10,6.2,"HUMANS"
"imdb","3",4,9,1,10,6,"HUMANS"
"variety","3",7,4,3,10,6,"HUMANS"
"engadget","3",7,5,1,10,5.8,"HUMANS"
"tvguide","3",6,6,1,10,5.8,"HUMANS"
"uproxx","3",7,5,1,10,5.8,"HUMANS"
"washingtonpost","3",4,8,1,10,5.8,"HUMANS"
"yahoo","3",7,5,1,10,5.8,"HUMANS"
"avclub","3",4,7,1,10,5.5,"HUMANS"
"nytimes","3",6,6,1,9,5.5,"HUMANS"
"screenrant","3",6,5,1,10,5.5,"HUMANS"
"deadline","3",5,5,1,10,5.2,"HUMANS"
"latimes","3",4,7,1,9,5.2,"HUMANS"
"metacritic","3",5,7,1,8,5.2,"HUMANS"
"syfywire","3",9,3,1,8,5.2,"HUMANS"
"collider","3",6,3,1,10,5,"HUMANS"
"geekgirlthority","3",10,1,1,8,5,"HUMANS"
"mercurynews","3",4,5,1,10,5,"HUMANS"
"showsnob","3",10,1,1,8,5,"HUMANS"
"tvline","3",5,5,1,9,5,"HUMANS"
"upi","3",7,4,1,8,5,"HUMANS"
"vulture","3",4,5,1,10,5,"HUMANS"
"comingsoon","3",6,3,1,9,4.8,"HUMANS"
"nbcnews","1",10,7,1,8,6.5,"INTO THE BADLANDS"
"yahoo","1",6,9,1,10,6.5,"INTO THE BADLANDS"
"aptv","1",10,6,1,8,6.2,"INTO THE BADLANDS"
"ew","1",9,5,1,10,6.2,"INTO THE BADLANDS"
"moviepilot","1",9,4,1,9,5.8,"INTO THE BADLANDS"
"cheatsheet","1",9,4,1,8,5.5,"INTO THE BADLANDS"
"cleveland","1",9,2,1,10,5.5,"INTO THE BADLANDS"
"geek","1",9,3,1,9,5.5,"INTO THE BADLANDS"
"hollywoodreporter","1",6,5,1,9,5.2,"INTO THE BADLANDS"
"ibtimes","1",6,5,1,9,5.2,"INTO THE BADLANDS"
"ign","1",4,6,1,10,5.2,"INTO THE BADLANDS"
"imdb","1",2,8,1,10,5.2,"INTO THE BADLANDS"
"vanityfair","1",8,4,1,8,5.2,"INTO THE BADLANDS"
"variety","1",6,4,1,10,5.2,"INTO THE BADLANDS"
"comicbook","1",6,3,1,10,5,"INTO THE BADLANDS"
"ladailynews","1",10,1,1,8,5,"INTO THE BADLANDS"
"mashable","1",5,6,1,8,5,"INTO THE BADLANDS"
"nytimes","1",4,7,1,8,5,"INTO THE BADLANDS"
"rochesterdemocratandchronicle","1",10,1,1,8,5,"INTO THE BADLANDS"
"uproxx","1",6,4,1,9,5,"INTO THE BADLANDS"
"wrap","1",6,3,1,10,5,"INTO THE BADLANDS"
"medialifemagazine","1",9,1,1,8,4.8,"INTO THE BADLANDS"
"mstarz","1",9,1,1,8,4.8,"INTO THE BADLANDS"
"slantmagazine","1",9,1,1,8,4.8,"INTO THE BADLANDS"
"slate","1",4,6,1,8,4.8,"INTO THE BADLANDS"
"ew","2",9,7,1,10,6.8,"INTO THE BADLANDS"
"gizmodo","2",10,8,1,8,6.8,"INTO THE BADLANDS"
"cleveland","2",9,5,1,10,6.2,"INTO THE BADLANDS"
"moviepilot","2",9,6,1,9,6.2,"INTO THE BADLANDS"
"comicbook","2",6,7,1,10,6,"INTO THE BADLANDS"
"variety","2",6,7,1,10,6,"INTO THE BADLANDS"
"ign","2",4,8,1,10,5.8,"INTO THE BADLANDS"
"nypost","2",5,8,1,9,5.8,"INTO THE BADLANDS"
"yahoo","2",6,6,1,10,5.8,"INTO THE BADLANDS"
"heavy","2",6,7,1,8,5.5,"INTO THE BADLANDS"
"tvguide","2",5,6,1,10,5.5,"INTO THE BADLANDS"
"wrap","2",6,5,1,10,5.5,"INTO THE BADLANDS"
"businessinsider","2",3,9,1,8,5.2,"INTO THE BADLANDS"
