"OUTLET","CORRELATION","OUTLET_PRESS_SIZE","QUANTITY_OF_SEASONS","OUTLET_SOCIAL_SIZE","FINAL_INDEX","SEASON","PROGRAM"
"usatoday",6,7,8,1,5.5,"4B","FEAR THE WALKING DEAD"
"vulture",6,4,8,4,5.5,"4B","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"4B","FEAR THE WALKING DEAD"
"cleveland",9,4,7,1,5.2,"4B","FEAR THE WALKING DEAD"
"ew",9,6,10,9,8.5,"1","GEEKING OUT"
"ign",7,8,9,9,8.2,"1","GEEKING OUT"
"forbes",7,8,6,10,7.8,"1","GEEKING OUT"
"imdb",6,10,7,8,7.8,"1","GEEKING OUT"
"hollywoodreporter",8,6,9,7,7.5,"1","GEEKING OUT"
"tvguide",8,6,10,6,7.5,"1","GEEKING OUT"
"mashable",7,7,6,9,7.2,"1","GEEKING OUT"
"rollingstone",7,6,7,9,7.2,"1","GEEKING OUT"
"vanityfair",9,5,6,8,7,"1","GEEKING OUT"
"engadget",8,7,5,7,6.8,"1","GEEKING OUT"
"gamespot",9,7,3,8,6.8,"1","GEEKING OUT"
"gizmodo",10,8,2,7,6.8,"1","GEEKING OUT"
"independent",8,8,4,7,6.8,"1","GEEKING OUT"
"newyorktimes",7,5,8,7,6.8,"1","GEEKING OUT"
"people",6,6,6,9,6.8,"1","GEEKING OUT"
"buzzfeed",6,8,3,9,6.5,"1","GEEKING OUT"
"verge",8,6,5,7,6.5,"1","GEEKING OUT"
"wallstreetjournal",6,5,5,10,6.5,"1","GEEKING OUT"
"cbr",8,6,3,8,6.2,"1","GEEKING OUT"
"newsweek",9,5,2,9,6.2,"1","GEEKING OUT"
"wrap",8,4,8,5,6.2,"1","GEEKING OUT"
"digitalspy",7,7,7,3,6,"1","GEEKING OUT"
"huffingtonpost",9,8,6,1,6,"1","GEEKING OUT"
"indiewire",6,4,8,6,6,"1","GEEKING OUT"
"losangelestimes",5,5,7,7,6,"1","GEEKING OUT"
"vanityfair",9,5,6,8,7,"1","HALT AND CATCH FIRE"
"gamespot",9,7,3,8,6.8,"1","HALT AND CATCH FIRE"
"gizmodo",10,8,2,7,6.8,"1","HALT AND CATCH FIRE"
"independent",8,8,4,7,6.8,"1","HALT AND CATCH FIRE"
"people",6,6,6,9,6.8,"1","HALT AND CATCH FIRE"
"verge",8,6,5,7,6.5,"1","HALT AND CATCH FIRE"
"cbr",8,6,3,8,6.2,"1","HALT AND CATCH FIRE"
"newsweek",9,5,2,9,6.2,"1","HALT AND CATCH FIRE"
"usweekly",7,5,5,7,6,"1","HALT AND CATCH FIRE"
"salon",7,6,4,6,5.8,"1","HALT AND CATCH FIRE"
"gamesradar",9,6,1,6,5.5,"1","HALT AND CATCH FIRE"
"dailymail",6,9,5,1,5.2,"1","HALT AND CATCH FIRE"
"fox",9,7,4,1,5.2,"1","HALT AND CATCH FIRE"
"ibtimes",8,5,6,2,5.2,"1","HALT AND CATCH FIRE"
"popsugar",7,7,4,3,5.2,"1","HALT AND CATCH FIRE"
"refinery29",3,6,2,10,5.2,"1","HALT AND CATCH FIRE"
"screenrant",7,5,7,2,5.2,"1","HALT AND CATCH FIRE"
"hollywoodlife",6,5,5,4,5,"1","HALT AND CATCH FIRE"
"moviefone",9,5,5,1,5,"1","HALT AND CATCH FIRE"
"msn",7,8,4,1,5,"1","HALT AND CATCH FIRE"
"parade",7,6,6,1,5,"1","HALT AND CATCH FIRE"
"rottentomatoes",6,7,6,1,5,"1","HALT AND CATCH FIRE"
"ajc",8,5,5,1,4.8,"1","HALT AND CATCH FIRE"
"aptv",10,6,2,1,4.8,"1","HALT AND CATCH FIRE"
"blastingnews",9,8,1,1,4.8,"1","HALT AND CATCH FIRE"
"forbes",7,8,6,10,7.8,"2","HALT AND CATCH FIRE"
"hollywoodreporter",8,6,9,7,7.5,"2","HALT AND CATCH FIRE"
"vanityfair",9,5,6,8,7,"2","HALT AND CATCH FIRE"
"engadget",8,7,5,7,6.8,"2","HALT AND CATCH FIRE"
"gamespot",9,7,3,8,6.8,"2","HALT AND CATCH FIRE"
"gizmodo",10,8,2,7,6.8,"2","HALT AND CATCH FIRE"
"independent",8,8,4,7,6.8,"2","HALT AND CATCH FIRE"
"newyorktimes",7,5,8,7,6.8,"2","HALT AND CATCH FIRE"
"people",6,6,6,9,6.8,"2","HALT AND CATCH FIRE"
"buzzfeed",6,8,3,9,6.5,"2","HALT AND CATCH FIRE"
"wallstreetjournal",6,5,5,10,6.5,"2","HALT AND CATCH FIRE"
"cbr",8,6,3,8,6.2,"2","HALT AND CATCH FIRE"
"newsweek",9,5,2,9,6.2,"2","HALT AND CATCH FIRE"
"avclub",6,6,8,4,6,"2","HALT AND CATCH FIRE"
"comicbook",8,5,7,4,6,"2","HALT AND CATCH FIRE"
"indiewire",6,4,8,6,6,"2","HALT AND CATCH FIRE"
"losangelestimes",5,5,7,7,6,"2","HALT AND CATCH FIRE"
"uproxx",8,5,9,2,6,"2","HALT AND CATCH FIRE"
"usweekly",7,5,5,7,6,"2","HALT AND CATCH FIRE"
"salon",7,6,4,6,5.8,"2","HALT AND CATCH FIRE"
"cinemablend",8,6,7,1,5.5,"2","HALT AND CATCH FIRE"
"dailybeast",5,6,5,6,5.5,"2","HALT AND CATCH FIRE"
"gamesradar",9,6,1,6,5.5,"2","HALT AND CATCH FIRE"
"usatoday",6,7,8,1,5.5,"2","HALT AND CATCH FIRE"
"washingtonpost",6,7,8,1,5.5,"2","HALT AND CATCH FIRE"
"ew",9,6,10,9,8.5,"3","HALT AND CATCH FIRE"
"ign",7,8,9,9,8.2,"3","HALT AND CATCH FIRE"
"yahoo",8,9,10,5,8,"3","HALT AND CATCH FIRE"
"forbes",7,8,6,10,7.8,"3","HALT AND CATCH FIRE"
"imdb",6,10,7,8,7.8,"3","HALT AND CATCH FIRE"
"hollywoodreporter",8,6,9,7,7.5,"3","HALT AND CATCH FIRE"
"tvguide",8,6,10,6,7.5,"3","HALT AND CATCH FIRE"
"mashable",7,7,6,9,7.2,"3","HALT AND CATCH FIRE"
"rollingstone",7,6,7,9,7.2,"3","HALT AND CATCH FIRE"
"variety",8,4,10,7,7.2,"3","HALT AND CATCH FIRE"
"vanityfair",9,5,6,8,7,"3","HALT AND CATCH FIRE"
